iter	Passed	Remaining
420	542	745
421	543	744
422	544	742
423	545	741
424	546	739
425	548	738
426	549	737
427	550	736
428	552	735
429	553	733
430	554	732
431	555	730
432	557	729
433	558	728
434	559	726
435	560	725
436	561	723
437	562	722
438	564	721
439	565	719
440	566	718
441	567	716
442	569	715
443	570	714
444	571	712
445	572	711
446	573	710
447	575	708
448	576	707
449	577	706
450	578	704
451	580	703
452	581	702
453	582	700
454	583	699
455	585	698
456	586	696
457	587	695
458	588	693
459	589	692
460	591	691
461	592	690
462	594	689
463	595	688
464	596	686
465	598	685
466	599	683
467	600	682
468	601	681
469	602	679
470	604	678
471	605	677
472	606	675
473	607	674
474	609	673
475	610	672
476	611	670
477	613	669
478	614	668
479	616	667
480	617	665
481	618	664
482	619	662
483	620	661
484	621	660
485	622	658
486	624	657
487	625	656
488	626	654
489	627	653
490	629	652
491	630	650
492	631	649
493	632	648
494	633	646
495	635	645
496	636	643
497	637	642
498	638	641
499	640	640
500	641	638
501	642	637
502	643	636
503	645	634
504	646	633
505	647	632
506	648	630
507	650	629
508	651	628
509	652	626
510	653	625
511	654	624
512	656	623
513	657	621
514	658	620
515	660	619
516	661	618
517	662	616
518	663	615
519	665	614
520	666	612
521	667	611
522	668	610
523	670	608
524	671	607
525	672	606
526	674	605
527	675	603
528	677	602
529	678	601
530	679	600
531	680	598
532	682	597
533	683	596
534	684	594
535	685	593
536	687	592
537	688	591
538	689	589
539	691	588
540	692	587
541	693	586
542	695	585
543	696	583
544	697	582
545	699	581
546	700	580
547	701	578
548	703	577
549	704	576
550	705	575
551	706	573
552	708	572
553	709	571
554	711	570
555	712	568
556	713	567
557	715	566
558	716	565
559	717	563
560	718	562
561	720	561
562	721	559
563	722	558
564	724	557
565	725	556
566	727	555
567	728	554
568	730	553
569	731	551
570	732	550
571	734	549
572	735	547
573	736	546
574	737	545
575	739	544
576	740	543
577	742	541
578	743	540
579	744	539
580	746	538
581	747	536
582	748	535
583	749	534
584	751	532
585	752	531
586	753	530
587	755	529
588	756	527
589	757	526
590	759	525
591	760	524
592	761	522
593	762	521
594	764	520
595	765	518
596	766	517
597	767	516
598	769	514
599	770	513
600	771	512
601	773	511
602	774	510
603	775	508
604	777	507
605	778	506
606	779	504
607	780	503
608	782	502
609	783	500
610	784	499
611	785	498
612	787	496
613	788	495
614	790	494
615	791	493
616	792	492
617	794	490
618	795	489
619	796	488
620	797	486
621	799	485
622	800	484
623	801	482
624	802	481
625	804	480
626	805	479
627	807	478
628	808	476
629	809	475
630	810	474
631	812	472
632	813	471
633	814	470
634	815	468
635	817	467
636	818	466
637	819	464
638	821	463
639	822	462
640	823	461
641	825	460
642	826	458
643	827	457
644	828	456
645	830	454
646	831	453
647	832	452
648	833	450
649	835	449
650	836	448
651	838	447
652	839	446
653	840	444
654	841	443
655	842	442
656	844	440
657	845	439
658	846	438
659	847	436
660	849	435
661	850	434
662	851	432
663	852	431
664	854	430
665	855	428
666	856	427
667	857	426
668	859	425
669	860	423
670	861	422
671	862	421
672	863	419
673	864	418
674	866	417
675	868	416
676	869	414
677	871	413
678	872	412
679	873	411
680	874	409
681	876	408
682	877	407
683	878	405
684	879	404
685	880	403
686	882	401
687	883	400
688	884	399
689	886	398
690	887	396
691	889	395
692	890	394
693	891	393
694	892	391
695	894	390
696	895	389
697	897	388
698	898	386
699	899	385
700	901	384
701	902	383
702	903	381
703	905	380
704	906	379
705	907	377
706	908	376
707	910	375
708	911	374
709	912	372
710	914	371
711	915	370
712	916	369
713	918	367
714	919	366
715	920	365
716	921	363
717	923	362
718	924	361
719	925	359
720	926	358
721	927	357
722	928	355
723	930	354
724	931	353
725	933	352
726	934	350
727	935	349
728	936	348
729	937	346
730	939	345
731	940	344
732	941	343
733	943	341
734	944	340
735	945	339
736	946	337
737	948	336
738	949	335
739	950	333
740	951	332
741	953	331
742	954	330
743	955	328
744	956	327
745	958	326
746	959	324
747	960	323
748	961	322
749	963	321
750	964	319
751	965	318
752	966	317
753	968	315
754	969	314
755	970	313
756	971	311
757	973	310
758	974	309
759	975	308
760	976	306
761	977	305
762	979	304
763	980	302
764	981	301
765	983	300
766	984	299
767	986	297
768	987	296
769	988	295
770	989	293
771	990	292
772	992	291
773	993	290
774	994	288
775	996	287
776	997	286
777	998	284
778	1000	283
779	1001	282
780	1002	281
781	1004	279
782	1005	278
783	1006	277
784	1008	276
785	1009	274
786	1010	273
787	1012	272
788	1013	271
789	1015	269
790	1016	268
791	1017	267
792	1019	266
793	1020	264
794	1021	263
795	1023	262
796	1024	260
797	1025	259
798	1027	258
799	1028	257
800	1030	255
801	1031	254
802	1032	253
803	1033	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1040	245
809	1041	244
810	1043	243
811	1044	241
812	1045	240
813	1047	239
814	1048	237
815	1049	236
816	1050	235
817	1052	234
818	1053	232
819	1054	231
820	1055	230
821	1057	228
822	1058	227
823	1060	226
824	1061	225
825	1062	223
826	1063	222
827	1065	221
828	1066	219
829	1067	218
830	1069	217
831	1070	216
832	1071	214
833	1072	213
834	1074	212
835	1075	211
836	1077	209
837	1078	208
838	1079	207
839	1080	205
840	1082	204
841	1083	203
842	1084	202
843	1086	200
844	1087	199
845	1088	198
846	1089	196
847	1091	195
848	1092	194
849	1093	193
850	1095	191
851	1096	190
852	1097	189
853	1098	187
854	1100	186
855	1101	185
856	1102	183
857	1103	182
858	1105	181
859	1106	180
860	1108	178
861	1109	177
862	1110	176
863	1111	174
864	1112	173
865	1114	172
866	1115	171
867	1116	169
868	1118	168
869	1119	167
870	1120	165
871	1121	164
872	1123	163
873	1124	162
874	1125	160
875	1126	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1132	153
881	1134	151
882	1135	150
883	1136	149
884	1137	147
885	1139	146
886	1140	145
887	1141	143
888	1142	142
889	1144	141
890	1145	140
891	1146	138
892	1147	137
893	1148	136
894	1150	134
895	1151	133
896	1152	132
897	1153	131
898	1155	129
899	1156	128
900	1157	127
901	1159	125
902	1160	124
903	1161	123
904	1162	122
905	1163	120
906	1165	119
907	1166	118
908	1167	116
909	1168	115
910	1169	114
911	1171	113
912	1172	111
913	1173	110
914	1174	109
915	1176	107
916	1177	106
917	1178	105
918	1179	103
919	1181	102
920	1182	101
921	1183	100
922	1184	98
923	1186	97
924	1187	96
925	1188	95
926	1190	93
927	1191	92
928	1192	91
929	1194	89
930	1195	88
931	1196	87
932	1198	86
933	1199	84
934	1200	83
935	1202	82
936	1203	80
937	1205	79
938	1206	78
939	1207	77
940	1209	75
941	1210	74
942	1211	73
943	1212	71
944	1214	70
945	1215	69
946	1216	68
947	1217	66
948	1219	65
949	1220	64
950	1222	62
951	1223	61
952	1224	60
953	1226	59
954	1227	57
955	1228	56
956	1229	55
957	1230	53
958	1232	52
959	1233	51
960	1234	50
961	1236	48
962	1237	47
963	1238	46
964	1239	44
965	1241	43
966	1242	42
967	1243	41
968	1244	39
969	1245	38
970	1247	37
971	1248	35
972	1249	34
973	1251	33
974	1252	32
975	1253	30
976	1255	29
977	1256	28
978	1258	26
979	1259	25
980	1261	24
981	1262	23
982	1264	21
983	1265	20
984	1267	19
985	1268	18
986	1269	16
987	1270	15
988	1272	14
989	1273	12
990	1274	11
991	1275	10
992	1276	9
993	1278	7
994	1279	6
995	1280	5
996	1281	3
997	1283	2
998	1284	1
999	1285	0
