iter	RMSE
0	0.8076126168
1	0.8007047561
2	0.7948716172
3	0.7894907005
4	0.7839040779
5	0.7790517258
6	0.7747661511
7	0.7704625873
8	0.7659911853
9	0.7623120301
10	0.7589068868
11	0.7557897511
12	0.7537868684
13	0.7513599923
14	0.7483825382
15	0.7461064605
16	0.7432610198
17	0.7410173458
18	0.7389493964
19	0.7368209905
20	0.7351514156
21	0.7335412185
22	0.731852565
23	0.7303618733
24	0.7290531461
25	0.7279364982
26	0.7265925842
27	0.7253180951
28	0.7242762839
29	0.722567522
30	0.7215488799
31	0.7206083172
32	0.7199979685
33	0.7191548039
34	0.7180397613
35	0.717050549
36	0.7163511141
37	0.7153224811
38	0.7144380521
39	0.7135064915
40	0.7127461853
41	0.711855954
42	0.7110483124
43	0.7104136079
44	0.70978724
45	0.7089288508
46	0.7081636913
47	0.707654177
48	0.7069301559
49	0.7063955951
50	0.705641619
51	0.7049169852
52	0.7040073371
53	0.7033771364
54	0.7027250477
55	0.7020440419
56	0.7015491115
57	0.7008042445
58	0.7001032083
59	0.6996649693
60	0.6991882858
61	0.6986760775
62	0.6980010025
63	0.6973946633
64	0.6968097053
65	0.6963004675
66	0.6956581365
67	0.695177385
68	0.6946707808
69	0.6943643693
70	0.6937436157
71	0.6933991551
72	0.6932490675
73	0.6928933642
74	0.6923181718
75	0.6918110157
76	0.6912341808
77	0.6909041637
78	0.690534702
79	0.6900946329
80	0.6895483091
81	0.6890547608
82	0.6887773831
83	0.6882624082
84	0.6878108141
85	0.6874726054
86	0.6871109519
87	0.6866937231
88	0.6863274659
89	0.6857283776
90	0.6852355312
91	0.6846453367
92	0.6840021479
93	0.6834265647
94	0.6829129621
95	0.6825745249
96	0.6823427046
97	0.6818460569
98	0.6814996388
99	0.6807731769
100	0.6803022615
101	0.6800199983
102	0.6796434945
103	0.6790722324
104	0.6785522043
105	0.678026001
106	0.6776755838
107	0.6775554644
108	0.6772585078
109	0.677097754
110	0.6766924432
111	0.6763710655
112	0.6760171988
113	0.6756490429
114	0.6754238018
115	0.6749920433
116	0.674651138
117	0.6743613045
118	0.6740430613
119	0.6737560742
120	0.6736049742
121	0.6730230176
122	0.6724212579
123	0.6721526299
124	0.6718035009
125	0.6714982423
126	0.6711535089
127	0.6708990506
128	0.6706196564
129	0.6702144555
130	0.6700053332
131	0.6697077287
132	0.6694087406
133	0.6691084935
134	0.6687212976
135	0.6683402402
136	0.6680803411
137	0.6677571728
138	0.6673063412
139	0.6668532558
140	0.666602108
141	0.6664242812
142	0.666084087
143	0.6659090769
144	0.6655100408
145	0.6649802704
146	0.6645587542
147	0.664163714
148	0.6639116198
149	0.6635894839
150	0.663259245
151	0.6629350055
152	0.6624023192
153	0.6620439158
154	0.6616010878
155	0.6610315246
156	0.6606120776
157	0.6603465038
158	0.6601356496
159	0.6599202471
160	0.6595016661
161	0.6591188789
162	0.6588233692
163	0.6583348086
164	0.6579730629
165	0.6575747171
166	0.6574554367
167	0.6571059984
168	0.6567906522
169	0.6563892614
170	0.6561386064
171	0.6558804341
172	0.6554311237
173	0.6551552882
174	0.654918538
175	0.6546051089
176	0.6542748761
177	0.6538418154
178	0.6535864651
179	0.6531601107
180	0.652647112
181	0.6523272393
182	0.6520071896
183	0.6515351611
184	0.6512549132
185	0.6505779238
186	0.6503343556
187	0.6499286179
188	0.6495201091
189	0.6492301813
190	0.648921404
191	0.6486170712
192	0.6483657348
193	0.6480514917
194	0.6476396984
195	0.6473225532
196	0.6468879519
197	0.6464991251
198	0.6461429102
199	0.6459549856
200	0.6456627319
201	0.6451939574
202	0.6447799659
203	0.6443432678
204	0.643820069
205	0.64320262
206	0.6428761241
207	0.6424963733
208	0.6422428031
209	0.6417905548
210	0.6415126576
211	0.6409932743
212	0.6406541872
213	0.6402115162
214	0.6397246447
215	0.6394623885
216	0.6390849686
217	0.6386888159
218	0.6382216661
219	0.637970659
220	0.6376760055
221	0.6372400676
222	0.6369589513
223	0.6366591567
224	0.6363481253
225	0.6360763952
226	0.6358186519
227	0.6352912779
228	0.6348690508
229	0.6344394043
230	0.6341226464
231	0.6336900896
232	0.6334376938
233	0.6329576013
234	0.6324337478
235	0.6321560712
236	0.6319386875
237	0.6318112733
238	0.6315321348
239	0.6310683061
240	0.6308014393
241	0.6304451644
242	0.629995725
243	0.6297433419
244	0.6294029291
245	0.6290073243
246	0.6286640818
247	0.6283923652
248	0.6280652128
249	0.627620807
250	0.6274001593
251	0.6270648883
252	0.6266828874
253	0.6265051272
254	0.6259651265
255	0.6256341355
256	0.6254034095
257	0.6250466648
258	0.6247661374
259	0.6244234781
260	0.6238932718
261	0.6237295559
262	0.6234282618
263	0.6230621162
264	0.6227141713
265	0.622495629
266	0.6221706679
267	0.6219955457
268	0.6215547153
269	0.6212892677
270	0.6210882753
271	0.6208125274
272	0.6205334559
273	0.6202032273
274	0.6200044728
275	0.6197257491
276	0.6194162753
277	0.6191248316
278	0.618933167
279	0.6185316595
280	0.618311481
281	0.6179851557
282	0.6178140681
283	0.6173959493
284	0.6171103503
285	0.616786016
286	0.6165058649
287	0.6161833948
288	0.6158691739
289	0.6157398635
290	0.6153911208
291	0.6150415144
292	0.6146769466
293	0.6143721303
294	0.614165051
295	0.6138163226
296	0.613579169
297	0.6133660317
298	0.612996446
299	0.6126947565
300	0.6123627643
301	0.6120952502
302	0.6117788442
303	0.6113115105
304	0.611014926
